user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Anil Sihray,,,2009-06-09 00:00:06,1,30,7,False,2022-01-30 23:59:51,"@CSMIA_Official 
Coming  from USA.  Is #PCR/NAAT lab test for #covid done in USA before travel to Mumbai accepted?","['PCR', 'covid']",Twitter Web App,False
JCharlesThomas,"Solana Beach, CA","Author, speaker, blogger (https://t.co/ITpssLTr7u); HCI, AI, UX, creativity. Most recent book: ""Tales of an American Childhood"" - on Amazon",2015-07-30 14:50:07,11450,12584,117420,False,2022-01-30 23:59:08,"The #gym is a great place for #exercise But - #COVID  See whether you can get “Fit in Bits” on Amazon to suggest many ways to put more fun, variety, &amp; health into daily activities. https://t.co/bDptck4Wdc https://t.co/I6B1REhXWT","['gym', 'exercise', 'COVID']",Twitter for iPhone,False
Dr J #FBPE 🌊💙💯🏴󠁧󠁢󠁳󠁣󠁴󠁿🇯🇴🇺🇸🇮🇪🇪🇺,Earth. 3rd Planet from Sun. ,Human. Free Thinker. Met Mandela. Personal. Family. Community. Funded Successful Drug to prevent Latent TB. Many Patents.,2020-04-09 00:34:23,5535,5846,40257,False,2022-01-30 23:57:56,"I do not think BIG Pharma will survive the FALL. 

#BIGPHARMA KILLS PEOPLE VIA GENE THERAPY 

KNOWN AS mRNA vaccines. 

#COVID","['BIGPHARMA', 'COVID']",Twitter Web App,False
BigDaddy,,Social and political commentary and sage advice,2018-03-13 02:19:57,15,9,721,False,2022-01-30 23:57:29,"If you have a @Spotify @SpotifyUSA account, you are paying them to broadcast #misinformation and #lies about the #CovidVaccine. #BoycottSpotify #DeleteSpotify #ByeSpotify #ByeByeSpotify #cancelspotify #accuracymatters #TruthMatters #truth #COVID19 #Covid_19 #COVID #COVIDIOTS","['misinformation', 'lies']",Twitter for Android,False
World Alert,"Karlsruhe, Germany","Alerting the world, with the current happenings, disease, political crisis etc.",2018-03-20 14:08:51,325,34,9,False,2022-01-30 23:57:10,"There are currently 51candidates
Out of which, 10 candidates are in phase 3.
#coronavirus #COVID #Covid-19 #vaccine #vaccines #vaccination
Use #telegram and add bot 'CoronaTrackerNepal_bot' to get details and notifications.

Source: https://t.co/HmUwd0efIQ","['coronavirus', 'COVID', 'Covid', 'vaccine']",corona-tracker-app,False
💗💛💙 Rainbow Fangs 🐺 NOT SPOILER FREE,"New Jersey, USA",Britt. 31. She/her-Animal nut-vegetarian-activist-book/film/art lover-pansexual-demiromantic-atheist-aspiring author/director. NSFW happens. Banner @_akreon_.,2009-09-23 06:10:32,1200,471,307575,False,2022-01-30 23:56:56,I thought I was out of the woods with this. Why on the 9th…10th? day do I have a sore throat and headache again? #Covid,['Covid'],Twitter for iPhone,False
Rev Dr Stephanie Dowrick,"Darwin, Australia","Writer/social activist/minister. Books include Intimacy & Solitude, Choosing Happiness, Forgiveness & Other Acts of Love, Seeking the Sacred, Heaven on Earth.",2010-10-15 01:23:47,10064,4113,77949,False,2022-01-30 23:56:26,"Truth at last.""#NSWGov made a reckless, ideologically driven '#Covid-denying' bet against THEIR OWN HEALTH ADVICE."" #Perrottet &amp; #Morrison must be held responsible for the chaos, tragedies everywhere but #WA. And so must their media enablers. @drkerrynphelps @ChrisMinnsMP https://t.co/j8Y1xmNdrC","['NSWGov', 'Covid']",Twitter Web App,False
Brexit is a terrible mistake,Brit trapped in Dublin,Politics and political discourse needs to be cleaned up and regulated - otherwise we face an Orwellian future. Reform British politics & #ReJoinEU #FBPE #FBPPR,2016-12-03 15:54:10,2229,2542,1986,False,2022-01-30 23:55:22,"@BlokeOnWheels @TymVirginia #BYOB = Blag Your Own Billion

7000 ""new"" companies
registered at just 5 addresses
received over £473m in #covid furlough scam
- someone in the Treasury knows who they are
- it HAD to be an inside job
- WTF is @UKSFO &amp; @CityPoliceFraud doing?
- This is #ToryCorruption !!! https://t.co/Sv4uC6IANF",['BYOB'],Twitter Web App,False
I'm a lazy perfectionist w/a superiority complex,"Vernon, BC","LPN, atheist, millenniOLD, Papa Bear, here for my looks ;)",2009-03-25 05:26:31,47,239,18435,False,2022-01-30 23:55:01,People I argue with on #Facebook keep saying I'm #angry... Yes I'm fucking angry! I'm a #nurse!  For over 2 years now I've had to deal with the effects of #covid and the #public both personally and professionally and I'm fucking #tired of it.,"['Facebook', 'angry', 'nurse']",Twitter for Android,False
NH Science and Public Health,,NH Science and Public Health is a coalition of healthcare professionals and scientists.,2020-11-21 13:20:10,169,184,447,False,2022-01-30 23:54:01,"We have removed our podcast, Ms Information, from Spotify. No more #COVID misinformation! While this will hurt our distribution, we'd love your support: https://t.co/6RtV9wh4EW #GetVaccinated #GetBoosted #Maskup @BenLocwin @NoraTraviss @asosin @the_female_lead @covidisairborne https://t.co/FOzusAh5co",['COVID'],Twitter Web App,False
Tim Mullins,United States,The constitution,2016-10-07 01:03:53,128,384,867,False,2022-01-30 23:54:00,Dr. Ryan Cole explains how the #COVID #vaccines compromise the #immunesystem  https://t.co/NCvLVCgRbu,"['COVID', 'vaccines', 'immunesystem']",Twitter for Android,False
Maggie Scarborough,,"Endeavouring to earn my Angel's wings! Life is short and all you can take with you, at the end, is what you've given away.",2011-11-20 10:19:33,1444,2477,21704,False,2022-01-30 23:53:34,@thetimes Urm… he ( I believe) has a choice but those who are immunosuppressed don’t… they are still vulnerable to #Covid.  I think he could step inside their shoes and then perhaps his brain would have been engaged before opening his (in my opinion) sarcastic gob. #WearAMask,,Twitter for iPad,False
